split,step,epochs,eval_loss,slot_f1,intent_accuracy,semantic_accuracy
valid,280,1,13.068692133256368,78.2248520710059,82.8,44.800000000000004
test,280,1,-1.0,76.44092219020175,80.40313549832027,44.90481522956327
valid,504,2,3.011816623753735,90.48316251830161,90.2,69.39999999999999
test,504,2,-1.0,89.01060070671377,85.77827547592385,64.61366181410975
valid,691,3,1.7597780364719942,93.54367513876716,91.8,76.8
test,691,3,-1.0,93.28621908127208,89.02575587905936,74.35610302351624
valid,851,4,1.2869556764140726,94.42335766423359,94.6,80.60000000000001
test,851,4,-1.0,94.18194640338504,91.15341545352743,78.38745800671893
valid,991,5,1.0332562821252005,95.15186915887848,95.6,83.0
test,991,5,-1.0,94.72756127667078,92.38521836506159,80.40313549832027
valid,1116,6,0.9018227041959762,95.18529325941057,96.39999999999999,83.39999999999999
test,1116,6,-1.0,94.75167312433956,93.95296752519597,82.4188129899216
valid,1228,7,0.785772313230804,96.12357913144857,96.6,85.2
test,1228,7,-1.0,94.91107589364326,94.17693169092945,82.75475923852184
valid,1330,8,0.7070970457850718,96.20770128354725,96.6,85.39999999999999
test,1330,8,-1.0,94.8686298712749,94.17693169092945,82.53079507278835
valid,1424,9,0.6360958954121204,96.69494004094764,97.2,87.4
test,1424,9,-1.0,95.0802327631811,94.2889137737962,82.30683090705487
valid,1511,10,0.615389478617701,96.55172413793103,96.6,86.6
test,1511,10,-1.0,95.11549991183212,94.40089585666294,82.86674132138859
valid,1591,11,0.5591664478182793,96.63447468539657,97.39999999999999,87.2
test,1591,11,-1.0,95.17265680056377,94.62486002239642,83.09070548712207
valid,1666,12,0.5206447740395864,96.57794676806083,97.2,87.2
test,1666,12,-1.0,95.16754850088184,94.96080627099664,83.42665173572227
valid,1736,13,0.5126857425485338,97.1294669009959,97.2,88.2
test,1736,13,-1.0,95.28851244044469,95.07278835386337,83.2026875699888
valid,1802,14,0.49026232890107413,97.04072663346031,97.2,87.8
test,1802,14,-1.0,95.46657258775798,95.74468085106383,84.32250839865621
valid,1865,15,0.4774958604858035,96.69494004094764,97.0,86.8
test,1865,15,-1.0,95.18942731277532,95.29675251959686,83.65061590145577
valid,1924,16,0.4573269529362856,96.89877121123465,96.8,87.0
test,1924,16,-1.0,95.23809523809524,95.29675251959686,83.53863381858902
valid,1980,17,0.44631507167858736,97.21815519765741,97.2,87.8
test,1980,17,-1.0,95.30533003882809,95.63269876819709,83.98656215005599
valid,2034,18,0.4101121941650355,97.07259953161592,97.39999999999999,87.8
test,2034,18,-1.0,95.2062037363412,95.85666293393056,84.21052631578947
valid,2085,19,0.39978085472887637,97.15792557866979,97.0,87.6
test,2085,19,-1.0,95.39438856537849,95.85666293393056,84.43449048152296
valid,2134,20,0.3775961098014092,97.09932610606502,97.2,87.6
test,2134,20,-1.0,95.36400493566016,95.96864501679731,84.5464725643897
valid,2181,21,0.39387404569920076,97.15959004392387,97.2,88.2
test,2181,21,-1.0,95.38081805359661,96.08062709966406,84.65845464725645
valid,2226,22,0.36405039628346764,97.10102489019033,97.2,87.8
test,2226,22,-1.0,95.34555712270803,96.30459126539753,84.88241881298993
valid,2270,23,0.4001526063816114,96.89513766842413,97.2,87.4
test,2270,23,-1.0,95.25656850643624,95.74468085106383,84.21052631578947
