split,step,epochs,eval_loss,slot_f1,intent_accuracy,semantic_accuracy
valid,280,1,8.746468259607042,87.72413793103449,93.60000000000001,61.0
test,280,1,-1.0,86.11492988726972,91.0414333706607,56.21500559910414
valid,504,2,2.78644495723503,91.87197789546396,94.8,71.39999999999999
test,504,2,-1.0,90.26864035087719,93.95296752519597,67.41321388577828
valid,691,3,2.0928365922866656,93.66505413499193,95.6,76.6
test,691,3,-1.0,91.99397837689885,93.72900335946248,72.67637178051511
valid,851,4,1.6920098595321178,93.32105020727775,96.39999999999999,77.0
test,851,4,-1.0,92.27614490772385,94.40089585666294,73.79619260918253
valid,991,5,1.480336628641401,94.11494252873564,96.6,78.8
test,991,5,-1.0,92.84348538650642,94.40089585666294,74.91601343784995
valid,1116,6,1.3641468770503997,94.63751438434983,97.0,79.60000000000001
test,1116,6,-1.0,93.53601752944401,96.08062709966406,76.93169092945129
valid,1228,7,1.213436218244689,95.58214450069029,97.0,83.0
test,1228,7,-1.0,94.15948570646971,95.18477043673013,77.93952967525196
valid,1330,8,1.0878485265900106,95.62615101289133,97.2,83.0
test,1330,8,-1.0,93.94063739570511,95.18477043673013,77.60358342665174
valid,1424,9,1.0215484541147313,95.63218390804597,97.8,83.0
test,1424,9,-1.0,94.2978257896896,95.29675251959686,77.93952967525196
valid,1511,10,0.9649050725602556,95.85635359116021,97.2,83.39999999999999
test,1511,10,-1.0,94.27710843373495,95.18477043673013,78.61142217245241
valid,1591,11,0.9231428064405918,95.85444495624137,97.0,83.8
test,1591,11,-1.0,94.7022587268994,95.63269876819709,79.84322508398655
valid,1666,12,0.8493289498488108,96.0847535697835,97.2,84.39999999999999
test,1666,12,-1.0,94.56834040224382,94.96080627099664,78.83538633818588
valid,1736,13,0.8375408061913081,96.04051565377533,97.6,84.39999999999999
test,1736,13,-1.0,94.66630196936543,96.1926091825308,81.07502799552073
valid,1802,14,0.7655353315851905,96.36279926335175,98.0,85.2
test,1802,14,-1.0,94.9671772428884,95.96864501679731,81.18701007838746
valid,1865,15,0.7602002786265479,96.49608114338403,97.2,86.0
test,1865,15,-1.0,94.95004789927468,95.40873460246361,80.62709966405374
valid,1924,16,0.7407338826333062,96.47546648237733,97.0,85.8
test,1924,16,-1.0,94.7022587268994,94.8488241881299,79.3952967525196
valid,1980,17,0.6736529634467193,96.54218533886582,97.2,85.8
test,1980,17,-1.0,94.92545479414581,96.7525195968645,81.8589025755879
valid,2034,18,0.6725945787297355,96.5485503911643,97.0,85.39999999999999
test,2034,18,-1.0,94.83915126625598,96.52855543113102,81.18701007838746
valid,2085,19,0.6731249748491773,96.66283084004603,97.6,86.4
test,2085,19,-1.0,95.1963870261393,96.41657334826428,82.30683090705487
valid,2134,20,0.6276218520135296,96.7548906789413,97.6,87.2
test,2134,20,-1.0,94.89530587108253,95.96864501679731,81.41097424412094
valid,2181,21,0.634959305220462,96.70886075949367,97.8,86.8
test,2181,21,-1.0,95.07254311524775,95.74468085106383,81.18701007838746
valid,2226,22,0.5944061656792958,96.91670501610675,98.0,88.2
test,2226,22,-1.0,94.7440459895976,96.30459126539753,80.96304591265397
valid,2270,23,0.5963376211849126,96.7519004837595,98.0,87.2
test,2270,23,-1.0,95.18336070060208,96.86450167973123,82.6427771556551
valid,2312,24,0.5834455880380812,96.6643662295836,98.0,86.4
test,2312,24,-1.0,95.00342231348391,95.85666293393056,81.41097424412094
valid,2352,25,0.5634485594928265,96.73413063477462,97.8,87.0
test,2352,25,-1.0,95.08824736626077,96.1926091825308,81.41097424412094
valid,2391,26,0.5372984990095481,96.9850402761795,98.0,88.0
test,2391,26,-1.0,95.31763417305585,96.30459126539753,82.30683090705487
valid,2429,27,0.5227249303930684,97.17306366352562,98.0,88.4
test,2429,27,-1.0,95.26805251641139,96.30459126539753,81.97088465845465
valid,2466,28,0.5107701461057406,96.98919788554355,98.0,87.4
test,2466,28,-1.0,95.13262236806125,96.52855543113102,82.19484882418813
valid,2501,29,0.5188867807388305,96.9655172413793,98.2,88.0
test,2501,29,-1.0,95.1559934318555,96.52855543113102,82.19484882418813
valid,2535,30,0.5104165980044533,96.9655172413793,98.2,87.8
test,2535,30,-1.0,95.10125889436233,95.96864501679731,81.52295632698768
valid,2568,31,0.49802095781673084,97.148114075437,97.8,88.2
test,2568,31,-1.0,95.14563106796116,96.30459126539753,82.19484882418813
valid,2600,32,0.4947711704298854,97.01149425287356,98.0,88.0
test,2600,32,-1.0,95.2537272602927,96.41657334826428,82.6427771556551
valid,2632,33,0.46463274490088224,97.09944751381215,97.8,88.2
test,2632,33,-1.0,95.08959102721926,96.1926091825308,82.19484882418813
valid,2663,34,0.4515249397485487,97.10078232857799,97.6,88.2
test,2663,34,-1.0,95.23939808481532,96.1926091825308,82.4188129899216
valid,2693,35,0.4568440347909927,97.12313003452245,97.6,89.0
test,2693,35,-1.0,95.31228645619791,96.41657334826428,82.4188129899216
valid,2722,36,0.4559564929583977,97.03107019562715,97.8,88.2
test,2722,36,-1.0,95.35138091331693,96.7525195968645,82.86674132138859
valid,2750,37,0.43329339793750216,97.21262381939644,97.39999999999999,88.6
test,2750,37,-1.0,95.21072796934867,96.30459126539753,82.0828667413214
valid,2778,38,0.44827188019241604,97.26247987117551,98.0,88.8
test,2778,38,-1.0,95.2915411990145,95.85666293393056,81.97088465845465
valid,2805,39,0.43709042889100536,97.12577604046908,97.8,88.6
test,2805,39,-1.0,95.20295202952029,97.20044792833147,83.09070548712207
valid,2832,40,0.4557729716654177,97.19540229885057,98.0,89.0
test,2832,40,-1.0,95.25891515234323,96.86450167973123,82.97872340425532
valid,2858,41,0.43841200264600605,97.148114075437,98.0,88.6
test,2858,41,-1.0,95.45827633378933,96.7525195968645,83.31466965285554
valid,2883,42,0.41779030084609986,97.17046238785369,97.8,89.0
test,2883,42,-1.0,95.24720021851952,96.86450167973123,83.2026875699888
valid,2908,43,0.4158552956581116,97.26121979286538,97.6,89.2
test,2908,43,-1.0,95.36441952686995,96.52855543113102,82.6427771556551
valid,2932,44,0.4164828819533189,97.26121979286538,97.6,89.0
test,2932,44,-1.0,95.30972241214276,96.52855543113102,82.75475923852184
valid,2956,45,0.42000000675519306,97.21903010802114,97.6,88.6
test,2956,45,-1.0,95.39050745452059,96.64053751399776,82.97872340425532
valid,2979,46,0.3988927628683007,97.05747126436782,97.6,88.0
test,2979,46,-1.0,95.22506498837049,96.7525195968645,82.6427771556551
valid,3002,47,0.3818151795345804,97.19282098481361,98.0,89.2
test,3002,47,-1.0,95.2928297755884,96.41657334826428,82.4188129899216
valid,3024,48,0.4010327580300244,97.23884031293142,97.6,88.8
test,3024,48,-1.0,95.22506498837049,96.41657334826428,82.4188129899216
valid,3046,49,0.38398410379886627,97.23756906077348,97.39999999999999,89.0
test,3046,49,-1.0,95.4153551389079,96.86450167973123,83.31466965285554
valid,3068,50,0.4025742018764669,97.23756906077348,97.2,88.8
test,3068,50,-1.0,95.18336070060208,96.30459126539753,82.0828667413214
valid,3089,51,0.3844027334735507,97.37689829728485,97.6,89.2
test,3089,51,-1.0,95.35934291581108,96.86450167973123,83.2026875699888
valid,3110,52,0.3884513718741281,97.35206078747409,97.2,88.4
test,3110,52,-1.0,95.21072796934867,96.86450167973123,82.6427771556551
valid,3130,53,0.37414596080780027,97.16785632051577,97.8,88.6
test,3130,53,-1.0,95.32275711159738,97.08846584546473,83.09070548712207
valid,3150,54,0.3784172236919403,97.28235836020266,98.0,89.2
test,3150,54,-1.0,95.44397318374605,96.7525195968645,83.31466965285554
valid,3170,55,0.3806323200464249,97.37448180561954,98.0,89.4
test,3170,55,-1.0,95.41660965932412,96.7525195968645,83.2026875699888
valid,3189,56,0.36956557474638285,97.26121979286538,98.0,89.0
test,3189,56,-1.0,95.44521953221174,96.86450167973123,83.42665173572227
valid,3208,57,0.352900073716515,97.30476848652386,97.8,89.4
test,3208,57,-1.0,95.51176792556103,96.52855543113102,83.31466965285554
valid,3227,58,0.3751661808867204,97.30848861283644,97.8,89.0
test,3227,58,-1.0,95.6069522375804,96.64053751399776,83.65061590145577
valid,3246,59,0.35066626965999603,97.35449735449735,97.39999999999999,88.4
test,3246,59,-1.0,95.63432325167648,96.86450167973123,83.87458006718926
valid,3264,60,0.35381662597258884,97.30972637387906,97.8,88.8
test,3264,60,-1.0,95.40355677154582,96.7525195968645,83.2026875699888
valid,3282,61,0.3438333686855104,97.28485964104924,97.8,89.2
test,3282,61,-1.0,95.4153551389079,96.7525195968645,83.09070548712207
valid,3300,62,0.34331995579931474,97.2164711295146,97.8,88.6
test,3300,62,-1.0,95.40229885057472,96.52855543113102,82.97872340425532
valid,3317,63,0.3393297099015292,97.28735632183907,97.8,88.8
test,3317,63,-1.0,95.44397318374605,96.7525195968645,83.31466965285554
valid,3334,64,0.35725339019999786,97.19282098481361,98.0,88.8
test,3334,64,-1.0,95.47009716710005,96.64053751399776,83.42665173572227
valid,3351,65,0.33533653353943543,97.42291762540266,97.6,89.2
test,3351,65,-1.0,95.44771018455229,96.41657334826428,83.2026875699888
valid,3368,66,0.32753589574028463,97.51495628163829,97.8,90.0
test,3368,66,-1.0,95.29411764705881,97.08846584546473,83.31466965285554
valid,3384,67,0.3302064584568143,97.49482877499426,97.8,89.4
test,3384,67,-1.0,95.2849528495285,96.64053751399776,83.09070548712207
valid,3400,68,0.33803009055554867,97.60809567617295,97.8,90.0
test,3400,68,-1.0,95.4334153677878,96.976483762598,83.76259798432251
valid,3416,69,0.3371611274778843,97.55985267034991,97.8,90.0
test,3416,69,-1.0,95.28624128979368,96.86450167973123,83.31466965285554
valid,3432,70,0.32559532672166824,97.6069949378739,97.8,90.2
test,3432,70,-1.0,95.43466375068343,96.52855543113102,83.31466965285554
valid,3448,71,0.31722130347043276,97.5609756097561,97.8,89.8
test,3448,71,-1.0,95.43216630196937,96.52855543113102,83.31466965285554
valid,3463,72,0.3396404127279917,97.35449735449735,97.8,89.0
test,3463,72,-1.0,95.43091655266757,96.7525195968645,83.09070548712207
valid,3478,73,0.33613104224205015,97.46893695352047,98.0,90.0
test,3478,73,-1.0,95.40481400437636,96.7525195968645,83.09070548712207
valid,3493,74,0.3107982297738393,97.19152854511971,97.8,88.8
test,3493,74,-1.0,95.36441952686995,96.30459126539753,82.86674132138859
valid,3508,75,0.31182248691717784,97.44651483781917,97.8,89.60000000000001
test,3508,75,-1.0,95.47257557105732,96.41657334826428,82.86674132138859
