split,step,epochs,eval_loss,slot_f1,intent_accuracy,semantic_accuracy
valid,280,1,7.690604554755347,90.56341293763042,93.60000000000001,67.60000000000001
test,280,1,-1.0,88.22068965517241,91.93729003359462,63.26987681970885
valid,504,2,2.234729551044958,92.71553711387736,95.0,73.8
test,504,2,-1.0,90.96138044371405,93.28107502799551,70.4367301231803
valid,691,3,1.580087742544113,94.05529953917052,95.19999999999999,77.60000000000001
test,691,3,-1.0,93.38084144168837,92.72116461366181,75.02799552071669
valid,851,4,1.2174971845932305,95.49010584445466,96.2,81.6
test,851,4,-1.0,94.107997265892,93.84098544232923,77.15565509518477
valid,991,5,1.0412914540086473,95.87842505180753,96.6,83.2
test,991,5,-1.0,94.42622950819673,94.17693169092945,78.49944008958568
valid,1116,6,0.9124045040607452,96.06625258799173,97.2,84.0
test,1116,6,-1.0,94.47936594698005,94.2889137737962,79.05935050391936
valid,1228,7,0.7830670436045953,96.63439372982941,97.2,85.8
test,1228,7,-1.0,94.66338259441709,95.18477043673013,79.3952967525196
valid,1330,8,0.7333575253393135,96.6566751210514,97.0,85.8
test,1330,8,-1.0,94.8346542771249,94.51287793952967,79.84322508398655
valid,1424,9,0.6478605747539946,96.86202122750346,97.6,86.6
test,1424,9,-1.0,94.80164158686729,94.62486002239642,79.9552071668533
valid,1511,10,0.6297026386206177,96.8396770472895,97.39999999999999,86.6
test,1511,10,-1.0,94.93705528188286,94.40089585666294,79.61926091825308
valid,1591,11,0.5785492859780789,96.84113442471754,97.2,86.6
test,1591,11,-1.0,95.0465243568692,94.8488241881299,80.40313549832027
valid,1666,12,0.540960003733635,96.72811059907835,97.6,86.6
test,1666,12,-1.0,94.9671772428884,96.1926091825308,81.52295632698768
valid,1736,13,0.5005801745823452,96.95712309820193,97.6,87.8
test,1736,13,-1.0,94.72819389292073,96.1926091825308,80.96304591265397
valid,1802,14,0.45584540249723376,97.07035755478663,96.6,87.2
test,1802,14,-1.0,94.8507258285401,95.74468085106383,80.96304591265397
valid,1865,15,0.4607176809083848,97.04660821412091,97.0,87.6
test,1865,15,-1.0,94.90829455242265,95.40873460246361,80.62709966405374
valid,1924,16,0.4047737912101261,97.32225300092337,97.2,88.2
test,1924,16,-1.0,94.9240662197291,95.74468085106383,81.18701007838746
valid,1980,17,0.41174628252961804,97.04933148916551,96.8,87.4
test,1980,17,-1.0,94.92545479414581,96.1926091825308,81.52295632698768
valid,2034,18,0.3892754786820323,97.4169741697417,97.0,88.2
test,2034,18,-1.0,94.6562798961323,96.30459126539753,81.07502799552073
valid,2085,19,0.3863230023313971,97.43589743589743,97.2,88.6
test,2085,19,-1.0,95.05953195565895,96.30459126539753,81.8589025755879
valid,2134,20,0.3440662589000196,97.43826448188321,97.8,89.4
test,2134,20,-1.0,95.08690296975504,96.1926091825308,82.0828667413214
valid,2181,21,0.34464822931492584,97.29854537058415,97.2,88.4
test,2181,21,-1.0,94.69655549480589,95.85666293393056,80.96304591265397
valid,2226,22,0.32064872483412427,97.57785467128026,97.39999999999999,89.2
test,2226,22,-1.0,94.92684260905239,96.976483762598,81.97088465845465
valid,2270,23,0.34710087898102676,97.48442187860604,97.39999999999999,89.2
test,2270,23,-1.0,95.17165914375599,95.85666293393056,81.63493840985441
valid,2312,24,0.32637113900411696,97.6915974145891,97.0,89.0
test,2312,24,-1.0,95.03487894952809,96.41657334826428,82.30683090705487
valid,2352,25,0.29974429197609426,97.69266266728195,97.2,89.8
test,2352,25,-1.0,95.1156108906827,96.08062709966406,81.8589025755879
valid,2391,26,0.29528381732793957,97.50922509225093,96.6,88.2
test,2391,26,-1.0,95.18731200437517,96.41657334826428,82.4188129899216
valid,2429,27,0.28791098884846034,97.37084870848709,97.39999999999999,88.8
test,2429,27,-1.0,95.38924613490218,95.85666293393056,82.4188129899216
valid,2466,28,0.30266657592477025,97.50922509225093,97.6,89.4
test,2466,28,-1.0,95.35010940919038,95.96864501679731,82.4188129899216
valid,2501,29,0.2984644361904689,97.57785467128026,97.8,89.8
test,2501,29,-1.0,95.32019704433498,96.30459126539753,82.6427771556551
valid,2535,30,0.284288676784319,97.69372693726937,97.8,90.0
test,2535,30,-1.0,95.25502529741556,96.1926091825308,83.09070548712207
valid,2568,31,0.26472062188567536,97.67012687427912,97.2,89.8
test,2568,31,-1.0,95.26286966046001,96.41657334826428,82.97872340425532
valid,2600,32,0.2599534122273326,97.74193548387098,97.6,90.4
test,2600,32,-1.0,95.1859956236324,96.41657334826428,82.86674132138859
valid,2632,33,0.2741042929701507,97.6958525345622,96.8,89.2
test,2632,33,-1.0,95.46076018594476,96.86450167973123,83.65061590145577
valid,2663,34,0.25119896185013557,97.7194194885971,97.6,89.8
test,2663,34,-1.0,95.26675786593707,95.96864501679731,82.19484882418813
valid,2693,35,0.24801543851693472,97.78801843317972,97.39999999999999,89.8
test,2693,35,-1.0,95.05058791359038,96.30459126539753,82.53079507278835
valid,2722,36,0.22047914410459585,97.78699861687413,97.6,90.0
test,2722,36,-1.0,95.4010402408979,96.52855543113102,82.97872340425532
valid,2750,37,0.23994912739310945,97.58120248790601,97.39999999999999,89.0
test,2750,37,-1.0,95.33834586466165,96.64053751399776,83.31466965285554
valid,2778,38,0.2254351345556123,98.0184331797235,97.39999999999999,90.4
test,2778,38,-1.0,95.47009716710005,96.976483762598,83.65061590145577
valid,2805,39,0.20909683875463628,97.85763648928818,97.0,89.8
test,2805,39,-1.0,95.39176808423355,97.20044792833147,83.76259798432251
valid,2832,40,0.2099269504348437,97.83509903270381,97.39999999999999,90.2
test,2832,40,-1.0,95.30972241214276,96.08062709966406,82.6427771556551
valid,2858,41,0.21134286603102317,97.744014732965,97.39999999999999,89.8
test,2858,41,-1.0,95.32147742818056,96.08062709966406,83.09070548712207
valid,2883,42,0.2126405319571495,97.88116075541225,97.2,90.2
test,2883,42,-1.0,95.28108329913827,96.64053751399776,83.09070548712207
valid,2908,43,0.20505161404609681,97.85664899746486,97.2,90.2
test,2908,43,-1.0,95.2354874041621,95.96864501679731,82.30683090705487
valid,2932,44,0.2026116233319044,97.78801843317972,97.39999999999999,90.2
