split,step,epochs,eval_loss,slot_f1,intent_accuracy,semantic_accuracy
valid,280,1,9.349876398273876,89.89547038327525,90.0,68.0
test,280,1,-1.0,88.38766519823788,86.56215005599104,64.94960806270996
valid,504,2,1.4819497426838748,95.18529325941057,95.6,82.8
test,504,2,-1.0,94.25490542690471,91.93729003359462,78.61142217245241
valid,691,3,0.8905053614454473,96.12131816856227,96.2,84.39999999999999
test,691,3,-1.0,94.94094835184205,93.72900335946248,81.63493840985441
valid,851,4,0.639172866428271,96.78738317757009,96.8,87.0
test,851,4,-1.0,95.10045823052519,95.29675251959686,83.2026875699888
valid,991,5,0.4955079436302185,97.22627737226277,97.39999999999999,87.8
test,991,5,-1.0,95.23305084745763,95.63269876819709,83.65061590145577
valid,1116,6,0.4152375164031982,97.42237844171059,97.39999999999999,89.4
test,1116,6,-1.0,95.55084745762713,95.96864501679731,85.33034714445688
valid,1228,7,0.36442302014412625,97.60093622001169,97.2,89.4
test,1228,7,-1.0,95.38081805359661,96.41657334826428,85.33034714445688
valid,1330,8,0.3213999700166431,97.42388758782201,97.2,88.8
test,1330,8,-1.0,95.26501766784452,95.52071668533034,83.2026875699888
valid,1424,9,0.2853444704904835,97.42388758782201,97.6,89.4
test,1424,9,-1.0,95.31719385050361,96.41657334826428,84.5464725643897
valid,1511,10,0.2799585421794447,97.48096074985354,97.6,89.60000000000001
test,1511,10,-1.0,95.24650998409614,96.30459126539753,83.98656215005599
valid,1591,11,0.22876995271071793,97.7152899824253,97.6,90.2
test,1591,11,-1.0,95.53398058252426,96.41657334826428,85.55431131019037
valid,1666,12,0.21986123899618784,97.59953161592506,97.0,88.8
test,1666,12,-1.0,95.38787771691112,95.52071668533034,84.21052631578947
valid,1736,13,0.19484091443674906,97.68667642752563,97.8,90.0
test,1736,13,-1.0,95.49071618037135,96.7525195968645,84.99440089585666
valid,1802,14,0.20009617400214527,97.54098360655738,97.6,89.4
test,1802,14,-1.0,95.60303725940314,96.976483762598,86.00223964165733
valid,1865,15,0.18370682222857362,97.4524158125915,97.6,89.60000000000001
test,1865,15,-1.0,95.47862945955492,96.30459126539753,84.99440089585666
valid,1924,16,0.186645601134179,97.57096868598187,97.2,89.0
test,1924,16,-1.0,95.51078119476847,96.976483762598,85.44232922732363
valid,1980,17,0.17510916106402874,97.7152899824253,97.39999999999999,89.8
test,1980,17,-1.0,95.47543301519973,97.42441209406495,85.77827547592385
valid,2034,18,0.14748845111440728,97.54098360655738,97.39999999999999,89.2
test,2034,18,-1.0,95.47862945955492,97.08846584546473,85.33034714445688
valid,2085,19,0.1497990380899579,97.57096868598187,97.39999999999999,89.0
test,2085,19,-1.0,95.5276648400212,96.64053751399776,85.1063829787234
valid,2134,20,0.15077338531157192,97.8337236533958,97.39999999999999,89.4
test,2134,20,-1.0,95.45695598373698,97.08846584546473,85.55431131019037
valid,2181,21,0.15482210058798182,97.77647747220597,97.2,89.4
test,2181,21,-1.0,95.4433062522077,96.41657334826428,84.77043673012318
valid,2226,22,0.1292031742632389,97.74656131109161,97.39999999999999,89.60000000000001
test,2226,22,-1.0,95.46016604840136,96.86450167973123,84.99440089585666
valid,2270,23,0.13667669172652744,97.89350497366881,97.39999999999999,90.0
test,2270,23,-1.0,95.54927587424939,97.08846584546473,85.66629339305712
valid,2312,24,0.12395149504854566,97.80380673499268,97.39999999999999,89.8
test,2312,24,-1.0,95.47862945955492,96.08062709966406,84.99440089585666
valid,2352,25,0.11793909426778555,97.48243559718969,97.39999999999999,89.0
test,2352,25,-1.0,95.4433062522077,97.20044792833147,85.44232922732363
valid,2391,26,0.11541565259297688,97.54242246928028,97.39999999999999,89.0
test,2391,26,-1.0,95.44008483563097,96.976483762598,85.1063829787234
valid,2429,27,0.10911070526038345,97.57096868598187,97.39999999999999,89.2
test,2429,27,-1.0,95.5276648400212,96.64053751399776,85.1063829787234
valid,2466,28,0.09685204351773939,97.59953161592506,97.6,89.4
test,2466,28,-1.0,95.37102473498233,97.20044792833147,85.21836506159015
valid,2501,29,0.0983806522829192,97.77517564402811,97.2,89.60000000000001
test,2501,29,-1.0,95.3927625772286,96.976483762598,85.66629339305712
valid,2535,30,0.10727773310945314,97.71929824561404,98.0,90.2
test,2535,30,-1.0,95.49708634999116,97.08846584546473,85.77827547592385
