split,step,epochs,eval_loss,slot_f1,intent_accuracy,semantic_accuracy
valid,280,1,1.3233347405280387,63.37986337986339,84.0,32.800000000000004
test,280,1,-1.0,63.10257339615802,80.06718924972004,31.24300111982083
valid,560,2,0.37966211773455144,81.88657407407408,88.8,56.2
test,560,2,-1.0,80.39457459926017,88.24188129899217,54.08734602463606
valid,840,3,0.22348846233050737,88.48167539267014,92.2,68.8
test,840,3,-1.0,88.38607035531201,90.59350503919373,67.63717805151175
valid,1120,4,0.15680979985211577,91.34224288204533,95.19999999999999,75.8
test,1120,4,-1.0,90.54813773717498,90.48152295632698,73.4602463605823
valid,1400,5,0.11522987800916391,93.09641712787649,95.6,79.60000000000001
test,1400,5,-1.0,92.74903203097502,91.0414333706607,77.04367301231802
valid,1680,6,0.09343364708391684,94.04553415061297,95.8,80.60000000000001
test,1680,6,-1.0,93.22540911490411,92.60918253079508,79.05935050391936
valid,1960,7,0.07735463545458125,94.89647127442403,95.39999999999999,82.19999999999999
test,1960,7,-1.0,94.5774647887324,93.72900335946248,81.8589025755879
valid,2240,8,0.06533524735797462,95.61915887850468,96.39999999999999,85.0
test,2240,8,-1.0,94.42484121383204,93.05711086226204,80.96304591265397
valid,2520,9,0.05968897994690841,96.11678832116787,96.6,86.4
test,2520,9,-1.0,94.47183098591549,94.62486002239642,82.30683090705487
valid,2800,10,0.052011249891282724,96.40456007015493,96.39999999999999,86.8
test,2800,10,-1.0,94.64600211342022,94.40089585666294,83.31466965285554
valid,3080,11,0.048857207996271815,96.37638807714787,96.6,86.6
test,3080,11,-1.0,94.80176211453745,94.62486002239642,82.4188129899216
valid,3360,12,0.046292479177437985,96.58194566170027,97.0,87.2
test,3360,12,-1.0,95.1056338028169,94.62486002239642,83.53863381858902
valid,3640,13,0.041905142008493254,96.95906432748538,97.39999999999999,88.4
test,3640,13,-1.0,95.25154457193293,95.18477043673013,84.32250839865621
valid,3920,14,0.03765093351913882,97.10610932475883,97.39999999999999,89.0
test,3920,14,-1.0,95.11894273127753,95.63269876819709,84.43449048152296
valid,4200,15,0.035708925336699136,96.92892658672127,97.2,88.6
test,4200,15,-1.0,95.25322039880005,95.29675251959686,84.21052631578947
valid,4480,16,0.032176491953682024,97.19133996489175,97.6,89.4
test,4480,16,-1.0,95.23809523809524,94.96080627099664,84.32250839865621
valid,4760,17,0.03126731784037214,97.0743124634289,97.8,88.6
test,4760,17,-1.0,95.27003176844335,95.40873460246361,84.65845464725645
valid,5040,18,0.030796964213368482,97.7152899824253,97.0,90.2
test,5040,18,-1.0,94.851904090268,95.29675251959686,83.76259798432251
valid,5320,19,0.03158188560316506,97.4524158125915,96.8,88.4
test,5320,19,-1.0,95.34391534391533,95.18477043673013,84.77043673012318
valid,5600,20,0.028174816882736715,97.4208675263775,97.2,89.0
test,5600,20,-1.0,95.34062830921285,95.74468085106383,85.1063829787234
