split,step,epochs,eval_loss,slot_f1,intent_accuracy,semantic_accuracy
valid,280,1,0.6928496286805187,83.68927481811782,94.19999999999999,51.2
test,280,1,-1.0,82.1856704767215,92.27323628219484,50.27995520716685
valid,560,2,0.22725962568074465,89.87985212569316,95.0,66.4
test,560,2,-1.0,87.30964467005076,93.61702127659575,62.70996640537514
valid,840,3,0.16700256053092224,91.83720395493216,94.39999999999999,70.6
test,840,3,-1.0,90.30939075916586,93.84098544232923,68.53303471444569
valid,1120,4,0.13872952220429266,91.85593025923377,95.0,72.0
test,1120,4,-1.0,90.55623889572229,94.2889137737962,69.20492721164614
valid,1400,5,0.12009332188671189,93.2074602809118,95.39999999999999,75.0
test,1400,5,-1.0,92.03830369357044,95.18477043673013,72.22844344904816
valid,1680,6,0.10665188315989715,93.90664520579443,96.2,77.0
test,1680,6,-1.0,92.7702610359437,95.07278835386337,74.91601343784995
valid,1960,7,0.097236482007429,94.4393382352941,96.39999999999999,78.0
test,1960,7,-1.0,92.66092660926608,94.96080627099664,74.2441209406495
valid,2240,8,0.08951041902016316,94.94485294117648,97.8,81.39999999999999
test,2240,8,-1.0,93.31514324693043,95.40873460246361,76.1478163493841
valid,2520,9,0.08530263943331583,95.1045736612273,97.6,81.0
test,2520,9,-1.0,93.04418985270048,95.18477043673013,75.58790593505039
valid,2800,10,0.07763801396026143,95.26654411764707,97.2,81.0
test,2800,10,-1.0,93.79611915823996,95.07278835386337,76.81970884658455
valid,3080,11,0.0758143991531272,95.79407032866008,97.39999999999999,83.0
test,3080,11,-1.0,93.62805294037386,94.40089585666294,76.37178051511758
valid,3360,12,0.07146115569796946,95.85635359116021,98.0,84.2
test,3360,12,-1.0,93.39699863574353,95.63269876819709,77.15565509518477
valid,3640,13,0.06920479195125934,96.04415823367064,97.6,83.39999999999999
test,3640,13,-1.0,93.93773894046967,95.29675251959686,77.15565509518477
valid,3920,14,0.06313199970006411,95.70016095654174,98.2,83.8
test,3920,14,-1.0,94.07265774378585,95.63269876819709,78.27547592385218
valid,4200,15,0.06256612896852727,95.8438576349024,97.39999999999999,83.39999999999999
test,4200,15,-1.0,94.60456221827617,95.85666293393056,79.61926091825308
valid,4480,16,0.05870864776827927,96.36781609195403,97.39999999999999,85.2
test,4480,16,-1.0,94.41790637368638,95.40873460246361,79.3952967525196
valid,4760,17,0.05730129382905683,96.23507805325987,97.39999999999999,85.39999999999999
test,4760,17,-1.0,94.37619437619438,95.63269876819709,79.3952967525196
valid,5040,18,0.05702724558899978,95.91180523656408,97.2,83.39999999999999
test,5040,18,-1.0,94.26386233269598,95.63269876819709,78.72340425531915
valid,5320,19,0.055960069267478374,96.26728110599078,96.6,84.0
test,5320,19,-1.0,94.50519409513396,95.74468085106383,79.84322508398655
valid,5600,20,0.05367243265999215,96.20602437341917,97.2,84.6
test,5600,20,-1.0,94.63454694771421,95.63269876819709,79.61926091825308
