split,step,epochs,eval_loss,slot_f1,intent_accuracy,semantic_accuracy
valid,280,1,0.6687058442937476,85.52784898625029,91.8,55.800000000000004
test,280,1,-1.0,83.27065050842737,91.93729003359462,52.63157894736842
valid,560,2,0.19577748426901442,91.09367789570835,94.0,69.19999999999999
test,560,2,-1.0,88.88888888888889,93.505039193729,65.2855543113102
valid,840,3,0.1388492715877614,92.77163904235726,95.19999999999999,73.4
test,840,3,-1.0,91.27277709275243,94.40089585666294,70.10078387458006
valid,1120,4,0.10835595586603242,93.97977941176471,95.6,77.8
test,1120,4,-1.0,92.39798007370003,94.2889137737962,73.34826427771557
valid,1400,5,0.08940565524223659,94.96667432774075,95.8,80.2
test,1400,5,-1.0,92.83565764287667,94.40089585666294,74.80403135498321
valid,1680,6,0.07796924712269433,94.97821600550331,96.8,80.80000000000001
test,1680,6,-1.0,93.06957708049113,94.96080627099664,75.47592385218364
valid,1960,7,0.06818433818407357,95.7979334098737,96.8,82.0
test,1960,7,-1.0,93.67053998632946,95.85666293393056,77.2676371780515
valid,2240,8,0.05978621071803251,95.41704857928507,96.6,81.39999999999999
test,2240,8,-1.0,93.78238341968911,95.74468085106383,77.60358342665174
valid,2520,9,0.05734519648831338,95.65617099517351,97.39999999999999,83.2
test,2520,9,-1.0,93.71241115363587,95.29675251959686,77.37961926091825
valid,2800,10,0.05390762757909085,95.95588235294117,97.0,83.2
test,2800,10,-1.0,94.04859404859405,94.8488241881299,78.49944008958568
valid,3080,11,0.05071873068476894,96.23334864492419,96.8,84.2
test,3080,11,-1.0,93.95095367847411,94.62486002239642,77.82754759238522
valid,3360,12,0.0478173818805122,95.63619660082684,96.39999999999999,82.39999999999999
test,3360,12,-1.0,94.05981155264237,94.0649496080627,77.60358342665174
valid,3640,13,0.04566745594576267,96.27071823204419,96.6,84.0
test,3640,13,-1.0,94.46726924130375,95.18477043673013,78.94736842105263
valid,3920,14,0.04211920485166567,96.43760055159733,97.0,85.2
test,3920,14,-1.0,94.29585152838426,95.85666293393056,79.28331466965287
valid,4200,15,0.04043936457518222,96.15650172612199,97.0,85.0
test,4200,15,-1.0,94.2849330051955,95.07278835386337,78.49944008958568
valid,4480,16,0.036660958444034414,96.688132474701,97.0,85.39999999999999
test,4480,16,-1.0,94.2205219292253,94.17693169092945,77.2676371780515
valid,4760,17,0.03622481526939997,97.03243616287095,95.8,86.4
test,4760,17,-1.0,94.31693989071037,95.07278835386337,79.17133258678611
valid,5040,18,0.03416390531762902,96.85419058553386,96.6,86.2
test,5040,18,-1.0,94.17700804582026,95.85666293393056,79.17133258678611
valid,5320,19,0.03439244423893147,97.05882352941177,98.0,87.8
test,5320,19,-1.0,94.56982628915334,96.1926091825308,80.06718924972004
valid,5600,20,0.03169307016235377,97.23756906077348,96.8,87.4
test,5600,20,-1.0,94.47634673229423,94.62486002239642,78.61142217245241
