split,step,epochs,eval_loss,slot_f1,intent_accuracy,semantic_accuracy
valid,280,1,1.015139082659568,80.83502464482457,91.0,54.800000000000004
test,280,1,-1.0,79.21279212792128,88.9137737961926,52.07166853303471
valid,560,2,0.19920972085424832,90.23471457548537,94.19999999999999,74.2
test,560,2,-1.0,90.05950297514876,90.48152295632698,72.78835386338186
valid,840,3,0.10791487931606493,94.27159057865659,95.6,80.4
test,840,3,-1.0,93.70506750832895,92.04927211646137,79.50727883538634
valid,1120,4,0.07331805361900479,95.6242707117853,95.8,82.8
test,1120,4,-1.0,94.62403373155307,93.16909294512878,81.8589025755879
valid,1400,5,0.05357278111041523,96.4087591240876,96.39999999999999,85.2
test,1400,5,-1.0,94.99033222007384,93.61702127659575,83.09070548712207
valid,1680,6,0.043509211925889496,96.26604434072345,96.6,85.0
test,1680,6,-1.0,94.98421606453876,93.84098544232923,83.42665173572227
valid,1960,7,0.03581974070943293,96.44107351225205,95.8,85.6
test,1960,7,-1.0,95.13437554891972,93.84098544232923,83.53863381858902
valid,2240,8,0.02955128661186401,96.78362573099415,96.39999999999999,87.4
test,2240,8,-1.0,95.11938202247191,94.0649496080627,84.21052631578947
valid,2520,9,0.028312003954280435,96.55373831775701,97.0,87.0
test,2520,9,-1.0,95.13437554891972,95.07278835386337,85.1063829787234
valid,2800,10,0.02570603793470322,97.27672035139092,96.6,88.2
test,2800,10,-1.0,95.25149489975378,93.72900335946248,83.98656215005599
valid,3080,11,0.02119118474781447,97.6608187134503,97.0,89.0
test,3080,11,-1.0,95.32677442023893,94.62486002239642,84.88241881298993
valid,3360,12,0.019594689038889817,97.39994157172072,97.2,88.6
test,3360,12,-1.0,95.56650246305419,94.2889137737962,85.55431131019037
valid,3640,13,0.019339264815789646,97.63641669098337,97.39999999999999,89.8
test,3640,13,-1.0,95.30343007915567,93.28107502799551,83.2026875699888
valid,3920,14,0.014913603218259856,97.45985401459855,96.8,89.2
test,3920,14,-1.0,95.36191145467322,94.8488241881299,85.1063829787234
valid,4200,15,0.015573190524342603,97.20442632498542,96.8,88.4
test,4200,15,-1.0,95.59262510974538,94.8488241881299,85.33034714445688
valid,4480,16,0.013601594137643197,97.36995908825249,97.0,89.2
test,4480,16,-1.0,95.27489899877041,95.29675251959686,84.65845464725645
valid,4760,17,0.013708371175536221,97.69343065693431,97.0,89.4
test,4760,17,-1.0,95.32184312346112,95.96864501679731,85.44232922732363
valid,5040,18,0.012135900828226503,97.52258816671524,97.0,89.4
test,5040,18,-1.0,95.38029158615845,95.18477043673013,85.21836506159015
valid,5320,19,0.011730955302274587,97.72196261682242,97.2,90.2
test,5320,19,-1.0,95.27821660523081,95.29675251959686,84.88241881298993
valid,5600,20,0.011610080880200258,97.80765857936275,97.0,89.2
test,5600,20,-1.0,95.4089709762533,94.62486002239642,84.88241881298993
